UniprotKB,Gene,FBgn,FBtr,FBpp
Q9VFC2,Spn88Ea-PA,FBgn0028984,FBtr0083141,FBpp0082595
Q9VFC2,Spn88Ea-PB,FBgn0028984,FBtr0083142,FBpp0082596
P83967,Act88F-PA,FBgn0000047,FBtr0083143,FBpp0082597
Q9VF59,B9d1-PA,FBgn0038342,FBtr0083145,FBpp0082599
NP_524368,Rh6-PD,FBgn0019940,FBtr0480497,FBpp0428299
Q9VF56,obe-PA,FBgn0038344,FBtr0083147,FBpp0082601
Q9VF55,maca-PA,FBgn0038345,FBtr0083148,FBpp0082602
Q9VF50,AOX4-PA,FBgn0038350,FBtr0083150,FBpp0082604
Q9VF51,AOX3-PA,FBgn0038349,FBtr0083151,FBpp0082605
Q9VF51,AOX3-PB,FBgn0038349,FBtr0433535,FBpp0390664
Q8IND5,AOX2-PC,FBgn0038348,FBtr0345258,FBpp0311435
Q8IND6,CG31296-PA,FBgn0051296,FBtr0083155,FBpp0082609
Q8IND6,CG31296-PB,FBgn0051296,FBtr0334558,FBpp0306625
Q4V645,Trissin-PB,FBgn0038343,FBtr0300174,FBpp0289411
Q8MY02,pxb-PB,FBgn0053207,FBtr0083162,FBpp0082616
Q8MY02,pxb-PC,FBgn0053207,FBtr0334025,FBpp0306142
Q8SYQ9,CG31446-PA,FBgn0051446,FBtr0083163,FBpp0082617
A0A0B4KH75,CG31446-PB,FBgn0051446,FBtr0334026,FBpp0306143
Q9VF46,CG5399-PA,FBgn0038353,FBtr0083164,FBpp0082618
Q9VF46,CG5399-PB,FBgn0038353,FBtr0334027,FBpp0306144
Q9VF45,CG5404-PA,FBgn0038354,FBtr0083165,FBpp0082619
Q9VF44,CG4520-PA,FBgn0038355,FBtr0083167,FBpp0082621
Q9VF44,CG4520-PB,FBgn0038355,FBtr0344379,FBpp0310752
Q9VF43,CG12784-PA,FBgn0038356,FBtr0083169,FBpp0082623
Q9VF41,Ttc26-PA,FBgn0038358,FBtr0083170,FBpp0082624
Q9VF40,CG5614-PA,FBgn0038359,FBtr0083171,FBpp0082625
Q9VF39,CG9590-PA,FBgn0038360,FBtr0083172,FBpp0082626
Q9VF38,Uros2-PA,FBgn0038361,FBtr0083173,FBpp0082627
Q9VF36,Acyp2-PA,FBgn0038363,FBtr0083174,FBpp0082628
Q9VF36,Acyp2-PB,FBgn0038363,FBtr0334591,FBpp0306658
Q9VF34,CG9593-PB,FBgn0038365,FBtr0307203,FBpp0298032
Q9VF33,alpha-Man-IIb-PA,FBgn0026616,FBtr0083179,FBpp0082633
Q9VF33,alpha-Man-IIb-PB,FBgn0026616,FBtr0334593,FBpp0306660
Q9VF33,alpha-Man-IIb-PC,FBgn0026616,FBtr0345238,FBpp0311424
Q9VF31,CG4576-PA,FBgn0038366,FBtr0083180,FBpp0082634
Q9VF28,Arpc3A-PC,FBgn0038369,FBtr0300570,FBpp0289797
Q9VF28,Arpc3A-PE,FBgn0038369,FBtr0334594,FBpp0306661
Q9VF26,spn-E-PA,FBgn0003483,FBtr0083183,FBpp0082637
Q9VF23,CG4546-PA,FBgn0038373,FBtr0083184,FBpp0082638
Q9VF18,CG9632-PA,FBgn0038377,FBtr0083185,FBpp0082639
Q9VF19,CG9632-PB,FBgn0038377,FBtr0083186,FBpp0082640
Q9VF17,CG31183-PA,FBgn0051183,FBtr0083187,FBpp0082641
Q9VF17,CG31183-PB,FBgn0051183,FBtr0346151,FBpp0311979
Q9VF20,Hmt-1-PA,FBgn0038376,FBtr0083188,FBpp0082642
Q9VF25,Pbp45-PA,FBgn0038371,FBtr0083190,FBpp0082644
Q9VF27,ND-23-PA,FBgn0017567,FBtr0083191,FBpp0082645
Q9VF30,rec-PA,FBgn0003227,FBtr0083193,FBpp0082647
Q9VF30,rec-PB,FBgn0003227,FBtr0334595,FBpp0306662
Q9VF37,c(3)G-PA,FBgn0000246,FBtr0083194,FBpp0082648
Q9VF37,c(3)G-PB,FBgn0000246,FBtr0083195,FBpp0082649
Q9VF37,c(3)G-PC,FBgn0000246,FBtr0083196,FBpp0082650
Q8T485,CG5623-PA,FBgn0038357,FBtr0083197,FBpp0082651
Q8IND4,CG31294-PA,FBgn0051294,FBtr0083198,FBpp0082652
Q9VF14,EndoU-PA,FBgn0038381,FBtr0083200,FBpp0082654
Q9VF10,Fbxl7-PA,FBgn0038385,FBtr0083201,FBpp0082655
Q9VF08,blp-PA,FBgn0038387,FBtr0083203,FBpp0082657
Q9VF08,blp-PB,FBgn0038387,FBtr0345214,FBpp0311409
Q960T2,Sap47-PA,FBgn0013334,FBtr0083204,FBpp0082658
FBpp0082659,Sap47-PB,FBgn0013334,FBtr0083205,FBpp0082659
Q960T2,Sap47-PC,FBgn0013334,FBtr0083206,FBpp0082660
Q960T2,Sap47-PD,FBgn0013334,FBtr0083207,FBpp0082661
Q960T2,Sap47-PE,FBgn0013334,FBtr0083208,FBpp0082662
FBpp0082663,Sap47-PF,FBgn0013334,FBtr0083209,FBpp0082663
FBpp0082664,Sap47-PG,FBgn0013334,FBtr0083210,FBpp0082664
A0A0B4LH71,Sap47-PI,FBgn0013334,FBtr0301655,FBpp0290869
A0A0B4LH71,Sap47-PK,FBgn0013334,FBtr0344384,FBpp0310757
F3YDF6,Sap47-PJ,FBgn0013334,FBtr0310672,FBpp0302792
FBpp0423163,Sap47-PL,FBgn0013334,FBtr0474164,FBpp0423163
FBpp0423164,Sap47-PM,FBgn0013334,FBtr0474165,FBpp0423164
Q9VF05,CG5516-PA,FBgn0038389,FBtr0083212,FBpp0082666
Q9VF05,CG5516-PB,FBgn0038389,FBtr0302549,FBpp0291705
Q9VF04,Rbf2-PA,FBgn0038390,FBtr0083213,FBpp0082667
Q9VF02,Hel89B-PB,FBgn0022787,FBtr0301715,FBpp0290929
Q9VF02,Hel89B-PC,FBgn0022787,FBtr0344471,FBpp0310842
Q9VF00,GATAe-PA,FBgn0038391,FBtr0083218,FBpp0082672
A0A0B4JDD2,GATAe-PB,FBgn0038391,FBtr0303260,FBpp0292352
A0A0B4JDD2,GATAe-PC,FBgn0038391,FBtr0303261,FBpp0292353
Q9VEZ8,pnr-PB,FBgn0003117,FBtr0083220,FBpp0082674
P52168,pnr-PA,FBgn0003117,FBtr0083221,FBpp0082675
A0A0B4KH81,pnr-PC,FBgn0003117,FBtr0335426,FBpp0307408
Q9VEZ8,pnr-PD,FBgn0003117,FBtr0335427,FBpp0307409
Q9VEZ7,CG10264-PA,FBgn0038394,FBtr0083222,FBpp0082676
Q9VEZ4,CG5013-PA,FBgn0038396,FBtr0083223,FBpp0082677
A0A0B4K700,msps-PD,FBgn0027948,FBtr0304801,FBpp0293341
A0A0B4K664,msps-PE,FBgn0027948,FBtr0304802,FBpp0293342
E1JIM4,msps-PF,FBgn0027948,FBtr0304803,FBpp0293343
E1JIM4,msps-PB,FBgn0027948,FBtr0301479,FBpp0290694
Q9VEZ3,msps-PC,FBgn0027948,FBtr0301480,FBpp0290695
Q9VEY9,sxe2-PA,FBgn0038398,FBtr0083225,FBpp0082679
Q9VEY9,sxe2-PB,FBgn0038398,FBtr0345306,FBpp0311471
A0A0B4LIA3,Akt-PB,FBgn0010379,FBtr0083226,FBpp0082680
A0A0B4LIA3,Akt-PA,FBgn0010379,FBtr0083227,FBpp0082681
Q8INB9,Akt-PC,FBgn0010379,FBtr0083228,FBpp0082682
A0A0B4LIA3,Akt-PD,FBgn0010379,FBtr0344470,FBpp0310841
A0A0B4LIA3,Akt-PE,FBgn0010379,FBtr0344717,FBpp0311050
Q8INC0,CG32855-PA,FBgn0052855,FBtr0083234,FBpp0082688
Q9VEZ2,CG10185-PA,FBgn0038397,FBtr0083235,FBpp0082689
Q9VEZ5,IKKbeta-PB,FBgn0024222,FBtr0304804,FBpp0293344
Q9VEZ6,CG10407-PA,FBgn0038395,FBtr0083237,FBpp0082691
A0A126GUV0,CG10407-PC,FBgn0038395,FBtr0347558,FBpp0312591
Q9VEZ6,CG10407-PB,FBgn0038395,FBtr0336487,FBpp0307590
Q9VF03,mor-PA,FBgn0002783,FBtr0083238,FBpp0082692
A0A0B4JDA0,mor-PB,FBgn0002783,FBtr0302550,FBpp0291706
Q8INC7,CG32856-PA,FBgn0052856,FBtr0083239,FBpp0082693
Q8INC7,CG32856-PB,FBgn0052856,FBtr0302551,FBpp0291707
Q9VF06,CG4287-PA,FBgn0038388,FBtr0083240,FBpp0082694
Q9VF06,CG4287-PB,FBgn0038388,FBtr0301716,FBpp0290930
FBpp0423119,CG31088-PB,FBgn0051088,FBtr0474098,FBpp0423119
Q9VF09,CG5478-PA,FBgn0038386,FBtr0083242,FBpp0082696
Q9VF15,glob1-PC,FBgn0027657,FBtr0083245,FBpp0082699
Q9VF15,glob1-PB,FBgn0027657,FBtr0083246,FBpp0082700
Q9VF15,glob1-PA,FBgn0027657,FBtr0083247,FBpp0082701
Q9VF15,glob1-PD,FBgn0027657,FBtr0083248,FBpp0082702
Q8T0T2,glob1-PE,FBgn0027657,FBtr0300895,FBpp0290117
Q9VF15,glob1-PF,FBgn0027657,FBtr0344381,FBpp0310754
Q9VF16,CG14877-PA,FBgn0038380,FBtr0083249,FBpp0082703
Q05319,Sb-PA,FBgn0003319,FBtr0083250,FBpp0082704
Q05319,Sb-PB,FBgn0003319,FBtr0344008,FBpp0310459
Q9VEY4,CG5916-PA,FBgn0038401,FBtr0083251,FBpp0082705
Q9VEY4,CG5916-PB,FBgn0038401,FBtr0344009,FBpp0310460
Q9VEY2,CG6006-PB,FBgn0063649,FBtr0083252,FBpp0082706
A2RVG5,CG6006-PC,FBgn0063649,FBtr0113477,FBpp0112387
Q9VEY2,CG6006-PD,FBgn0063649,FBtr0309301,FBpp0301216
Q9VEY2,CG6006-PE,FBgn0063649,FBtr0309302,FBpp0301217
Q9VEY2,CG6006-PF,FBgn0063649,FBtr0309303,FBpp0301218
Q9VEY1,CG8925-PA,FBgn0038404,FBtr0083253,FBpp0082707
Q4V579,CG8925-PB,FBgn0038404,FBtr0113241,FBpp0112153
Q8INB8,CG31287-PA,FBgn0051287,FBtr0083256,FBpp0082710
Q8INB8,CG31287-PB,FBgn0051287,FBtr0345259,FBpp0311436
Q9VEX7,tara-PA,FBgn0040071,FBtr0083257,FBpp0082711
Q9NHB9,tara-PB,FBgn0040071,FBtr0083258,FBpp0082712
Q9VEX5,asun-PA,FBgn0020407,FBtr0083259,FBpp0082713
Q9VEX4,Mst89B-PA,FBgn0020399,FBtr0083260,FBpp0082714
Q9VEX1,Zip89B-PA,FBgn0038412,FBtr0083266,FBpp0082720
Q9VEW9,CG6901-PA,FBgn0038414,FBtr0083269,FBpp0082721
Q9VEW8,CG17929-PB,FBgn0038415,FBtr0273219,FBpp0271727
Q9VEW7,CG17930-PA,FBgn0038416,FBtr0083271,FBpp0082723
Q9VEX0,Sulf1-PA,FBgn0040271,FBtr0083273,FBpp0082725
Q9VEX0,Sulf1-PB,FBgn0040271,FBtr0334699,FBpp0306754
Q9VEX0,Sulf1-PC,FBgn0040271,FBtr0334700,FBpp0306755
Q961R9,CG6126-PA,FBgn0038407,FBtr0083278,FBpp0082730
Q9VEX9,Bin1-PA,FBgn0024491,FBtr0083279,FBpp0082731
Q9VEX9,Bin1-PB,FBgn0024491,FBtr0347200,FBpp0312505
Q9VEX9,Bin1-PC,FBgn0024491,FBtr0347201,FBpp0312506
A0A0B4LIA7,Fer2-PC,FBgn0038402,FBtr0344010,FBpp0310461
A0A0B4LH78,Fer2-PD,FBgn0038402,FBtr0344011,FBpp0310462
A0A0B4LH77,Fer2-PE,FBgn0038402,FBtr0344012,FBpp0310463
Q9VEY3,Fer2-PB,FBgn0038402,FBtr0301709,FBpp0290923
Q9VEY5,Mic26-27-PA,FBgn0038400,FBtr0083281,FBpp0082733
Q9VEY5,Mic26-27-PB,FBgn0038400,FBtr0344013,FBpp0310464
Q9VEY5,Mic26-27-PC,FBgn0038400,FBtr0347199,FBpp0312504
Q9VEW6,pad-PB,FBgn0038418,FBtr0301514,FBpp0290729
Q9XZ63,Manf-PA,FBgn0027095,FBtr0083283,FBpp0082735
Q8INB4,CG31279-PB,FBgn0051279,FBtr0301433,FBpp0290648
E1JIM7,CG31279-PC,FBgn0051279,FBtr0301434,FBpp0290649
A0A0B4KG93,CG31279-PD,FBgn0051279,FBtr0310428,FBpp0302576
E1JIM7,CG31279-PE,FBgn0051279,FBtr0310429,FBpp0302577
A0A0B4KGS2,CG31279-PF,FBgn0051279,FBtr0337013,FBpp0307942
A0A0B4KHM0,CG31279-PG,FBgn0051279,FBtr0337014,FBpp0307943
Q9VEV7,Fntb-PA,FBgn0038424,FBtr0083286,FBpp0082737
Q9VEV6,CG14881-PA,FBgn0038425,FBtr0083287,FBpp0082738
Q8SY94,CG14881-PB,FBgn0038425,FBtr0083288,FBpp0082739
Q9VEV2,CG14882-PA,FBgn0038429,FBtr0083289,FBpp0082740
Q9VEV2,CG14882-PB,FBgn0038429,FBtr0337015,FBpp0307944
Q4V5J3,CG10405-PB,FBgn0038431,FBtr0110773,FBpp0110070
Q9VEU9,CG14883-PA,FBgn0038432,FBtr0083291,FBpp0082742
Q9XZ58,CSN5-PA,FBgn0027053,FBtr0083292,FBpp0082743
A0A0B4KHM2,CSN5-PB,FBgn0027053,FBtr0334535,FBpp0306602
Q9VEU6,Gyc89Da-PB,FBgn0038435,FBtr0110962,FBpp0110262
Q9VEU6,Gyc89Da-PC,FBgn0038435,FBtr0110963,FBpp0110263
Q9VEU5,Gyc89Db-PA,FBgn0038436,FBtr0083294,FBpp0082745
Q9VET4,CG14891-PA,FBgn0038445,FBtr0083301,FBpp0082752
Q9VET3,CG14903-PA,FBgn0038446,FBtr0083303,FBpp0082754
Q9VET9,Decay-PA,FBgn0028381,FBtr0083304,FBpp0082755
Q9VEU1,Cad89D-PB,FBgn0038439,FBtr0301702,FBpp0290916
Q9VEU2,Der-2-PA,FBgn0038438,FBtr0083307,FBpp0082758
Q8SZ16,Sdhaf3-PA,FBgn0038437,FBtr0083308,FBpp0082759
Q9VEV1,Pak3-PA,FBgn0044826,FBtr0083312,FBpp0082763
A0A0B4KGS4,Pak3-PD,FBgn0044826,FBtr0330047,FBpp0303080
Q9VEV1,Pak3-PC,FBgn0044826,FBtr0305003,FBpp0293540
Q9VEV3,CG14894-PA,FBgn0038428,FBtr0083314,FBpp0082765
Q9VEV3,CG14894-PB,FBgn0038428,FBtr0337016,FBpp0307945
Q9VEV5,mRpS33-PA,FBgn0038426,FBtr0083316,FBpp0082767
Q9VEV9,ss-PA,FBgn0003513,FBtr0083318,FBpp0082768
E1JIM6,ss-PC,FBgn0003513,FBtr0306026,FBpp0297168
E1JIM6,ss-PD,FBgn0003513,FBtr0306027,FBpp0297169
Q9VEW0,CG10317-PC,FBgn0038423,FBtr0300677,FBpp0289901
Q9VEW0,CG10317-PD,FBgn0038423,FBtr0300678,FBpp0289902
Q9VEW1,CG14880-PB,FBgn0038422,FBtr0083321,FBpp0082771
Q9VEW1,CG14880-PA,FBgn0038422,FBtr0083320,FBpp0082770
Q9VEW2,CG17931-PA,FBgn0038421,FBtr0083323,FBpp0082773
Q9VEW2,CG17931-PC,FBgn0038421,FBtr0332177,FBpp0304486
Q9VEW2,CG17931-PE,FBgn0038421,FBtr0392900,FBpp0352242
Q9VEW2,CG17931-PD,FBgn0038421,FBtr0345208,FBpp0311403
Q9VEW3,CG10311-PA,FBgn0038420,FBtr0083324,FBpp0082774
Q9VEW3,CG10311-PB,FBgn0038420,FBtr0345202,FBpp0311397
Q9VEW5,CG14879-PA,FBgn0038419,FBtr0083325,FBpp0082775
Q8SXU5,CG14879-PB,FBgn0038419,FBtr0083326,FBpp0082776
Q9VEW5,CG14879-PC,FBgn0038419,FBtr0334733,FBpp0306781
Q9VEW5,CG14879-PD,FBgn0038419,FBtr0345255,FBpp0311432
Q9VET2,CG14892-PA,FBgn0038447,FBtr0083327,FBpp0082777
Q9VET0,NPF-PA,FBgn0027109,FBtr0083328,FBpp0082778
Q9VET0,NPF-PB,FBgn0027109,FBtr0331685,FBpp0304074
Q9VET0,NPF-PC,FBgn0027109,FBtr0331686,FBpp0304075
Q9VES7,CG17562-PA,FBgn0038449,FBtr0083329,FBpp0082779
Q9VES6,CG17560-PA,FBgn0038450,FBtr0083330,FBpp0082780
Q9VES5,CG14893-PB,FBgn0038451,FBtr0300865,FBpp0290087
Q24113,nonA-l-PA,FBgn0015520,FBtr0083335,FBpp0082785
Q24113,nonA-l-PB,FBgn0015520,FBtr0333727,FBpp0305874
Q9VES1,Arl6IP1-PA,FBgn0038453,FBtr0083336,FBpp0082786
Q9VES1,Arl6IP1-PB,FBgn0038453,FBtr0333728,FBpp0305875
P48605,CCT3-PA,FBgn0015019,FBtr0083337,FBpp0082787
P48605,CCT3-PB,FBgn0015019,FBtr0083338,FBpp0082788
P48605,CCT3-PC,FBgn0015019,FBtr0302370,FBpp0291565
P48605,CCT3-PD,FBgn0015019,FBtr0302371,FBpp0291566
P53403,Glut3-PA,FBgn0015230,FBtr0083340,FBpp0082790
Q7JQ02,CG31275-PA,FBgn0063261,FBtr0083346,FBpp0082792
P83949,Ubx-PA,FBgn0003944,FBtr0083347,FBpp0082793
FBpp0082794,Ubx-PB,FBgn0003944,FBtr0083348,FBpp0082794
FBpp0082795,Ubx-PC,FBgn0003944,FBtr0083349,FBpp0082795
D8FT40,Ubx-PD,FBgn0003944,FBtr0083350,FBpp0082796
FBpp0082797,Ubx-PE,FBgn0003944,FBtr0083351,FBpp0082797
FBpp0089155,Ubx-PF,FBgn0003944,FBtr0083352,FBpp0089155
Q9VER6,modSP-PA,FBgn0051217,FBtr0083353,FBpp0082798
NP_650574,CG14907-PC,FBgn0038455,FBtr0479872,FBpp0428205
Q9VER8,Mettl4-PC,FBgn0015351,FBtr0336486,FBpp0307589
Q9VES0,CG10324-PA,FBgn0038454,FBtr0083356,FBpp0082801
Q9VES4,CG14905-PA,FBgn0038452,FBtr0083357,FBpp0082802
Q9VES8,CG10340-PA,FBgn0022344,FBtr0083358,FBpp0082803
Q9VET1,CG10345-PA,FBgn0027562,FBtr0083360,FBpp0082805
O16158,Scp2-PA,FBgn0020907,FBtr0083361,FBpp0082806
Q9VEQ6,VhaM9.7-d-PA,FBgn0038458,FBtr0083366,FBpp0082809
Q9GU54,MESK4-PA,FBgn0043069,FBtr0083367,FBpp0082810
Q9GU54,MESK4-PB,FBgn0043069,FBtr0337059,FBpp0307988
Q9VEQ0,CG3534-PA,FBgn0038463,FBtr0083370,FBpp0082813
Q9VEP8,Irc-PA,FBgn0038465,FBtr0083371,FBpp0082814
Q9VEP8,Irc-PB,FBgn0038465,FBtr0337060,FBpp0307989
Q95TJ6,CG8907-PA,FBgn0038466,FBtr0083372,FBpp0082815
H9ZYQ1,CG8907-PB,FBgn0038466,FBtr0305271,FBpp0293795
Q9VEP6,AdSL-PA,FBgn0038467,FBtr0083373,FBpp0082816
Q9VEQ1,EMC2A-PA,FBgn0038462,FBtr0083375,FBpp0082818
Q9VEQ1,EMC2A-PB,FBgn0038462,FBtr0337063,FBpp0307992
Q9VEQ2,EMC2B-PA,FBgn0038461,FBtr0083376,FBpp0082819
Q9VEQ2,EMC2B-PB,FBgn0038461,FBtr0337064,FBpp0307993
Q9VEQ3,CG18622-PA,FBgn0038460,FBtr0083377,FBpp0082820
Q9VEQ3,CG18622-PC,FBgn0038460,FBtr0346338,FBpp0312055
Q9VEQ3,CG18622-PB,FBgn0038460,FBtr0337065,FBpp0307994
P50245,AhcyL2-PC,FBgn0015011,FBtr0083378,FBpp0082821
Q7KSG0,AhcyL2-PD,FBgn0015011,FBtr0083379,FBpp0089085
Q9VEQ5,Actn3-PA,FBgn0015008,FBtr0083380,FBpp0082822
A4V304,Abd-B-PC,FBgn0000015,FBtr0083381,FBpp0082823
A4V304,Abd-B-PA,FBgn0000015,FBtr0083382,FBpp0082824
A4V304,Abd-B-PD,FBgn0000015,FBtr0083383,FBpp0082825
P09087,Abd-B-PB,FBgn0000015,FBtr0083384,FBpp0082826
A4V304,Abd-B-PE,FBgn0000015,FBtr0083385,FBpp0089276
A0A0B4KGT1,Abd-B-PF,FBgn0000015,FBtr0330709,FBpp0303552
A0A126GUV9,Abd-B-PG,FBgn0000015,FBtr0346764,FBpp0312359
P09087,Abd-B-PH,FBgn0000015,FBtr0415463,FBpp0373669
A4V304,Abd-B-PI,FBgn0000015,FBtr0415464,FBpp0373670
A4V304,Abd-B-PJ,FBgn0000015,FBtr0415465,FBpp0373671
P29555,abd-A-PB,FBgn0000014,FBtr0083388,FBpp0082829
E1JIM9,abd-A-PA,FBgn0000014,FBtr0083387,FBpp0082828
E1JIM9,abd-A-PC,FBgn0000014,FBtr0300485,FBpp0289712
E1JIM9,abd-A-PD,FBgn0000014,FBtr0306337,FBpp0297433
Q9VEP4,CG5225-PA,FBgn0038468,FBtr0083389,FBpp0082830
Q8INA5,CG31268-PA,FBgn0051268,FBtr0083390,FBpp0082831
A0A0B4K670,CG31268-PB,FBgn0051268,FBtr0307190,FBpp0298019
Q9VEP1,Trm7-32-PA,FBgn0038471,FBtr0083391,FBpp0082832
Q8SX89,kuk-PA,FBgn0038476,FBtr0083397,FBpp0082838
Q8SX89,kuk-PB,FBgn0038476,FBtr0083398,FBpp0082839
Q8SX89,kuk-PC,FBgn0038476,FBtr0305987,FBpp0297129
Q9VEN2,cal1-PA,FBgn0038478,FBtr0083400,FBpp0082841
Q8INA1,CG31269-PB,FBgn0051269,FBtr0113401,FBpp0112313
Q9VEM9,CG31265-PA,FBgn0051265,FBtr0083402,FBpp0082843
Q8INA0,CG31267-PA,FBgn0051267,FBtr0083404,FBpp0082845
Q9VEM6,CG5246-PA,FBgn0038484,FBtr0083405,FBpp0082846
Q9VEM5,CG5255-PA,FBgn0038485,FBtr0083406,FBpp0082847
Q9VEM4,CG5265-PA,FBgn0038486,FBtr0083407,FBpp0082848
Q9VEM1,Smug-PA,FBgn0038490,FBtr0083409,FBpp0082850
Q9VEM0,CG5292-PA,FBgn0038491,FBtr0083410,FBpp0082851
Q9VEM0,CG5292-PB,FBgn0038491,FBtr0337042,FBpp0307971
Q9VEL7,beat-IIb-PA,FBgn0038494,FBtr0083411,FBpp0082852
E1JIN2,beat-IIb-PC,FBgn0038494,FBtr0339173,FBpp0308315
Q8IN99,CG31262-PE,FBgn0051262,FBtr0302852,FBpp0291992
A0A0B4JDA5,CG31262-PF,FBgn0051262,FBtr0302853,FBpp0291993
Q8IN99,CG31262-PB,FBgn0051262,FBtr0300053,FBpp0289330
E1JIN1,CG31262-PD,FBgn0051262,FBtr0300361,FBpp0289590
A0A0B4KG53,Mur89F-PB,FBgn0038492,FBtr0334402,FBpp0306505
Q9VEL9,Mur89F-PC,FBgn0038492,FBtr0334403,FBpp0306506
Q9I7J2,m-cup-PA,FBgn0038488,FBtr0083414,FBpp0082855
A0A0B4KHA0,m-cup-PB,FBgn0038488,FBtr0337043,FBpp0307972
Q8IH13,TwdlW-PA,FBgn0038487,FBtr0083415,FBpp0082856
Q9VEM7,CG4053-PB,FBgn0038482,FBtr0303413,FBpp0292474
Q9VEM8,CG17475-PA,FBgn0038481,FBtr0083417,FBpp0082858
Q9VEM8,CG17475-PB,FBgn0038481,FBtr0346149,FBpp0311977
Q9VEN0,CG17477-PA,FBgn0038479,FBtr0083418,FBpp0082859
Q9VEN5,Keap1-PA,FBgn0038475,FBtr0083422,FBpp0082863
Q7KSF5,Keap1-PB,FBgn0038475,FBtr0083423,FBpp0082864
Q9VEN5,Keap1-PC,FBgn0038475,FBtr0083424,FBpp0082865
Q8MT06,Ns1-PA,FBgn0038473,FBtr0083426,FBpp0082867
Q9VEP0,CG3995-PA,FBgn0038472,FBtr0083428,FBpp0082869
Q9VEP2,CG18213-PB,FBgn0038470,FBtr0305129,FBpp0293659
A0A0B4LHB6,CG18213-PC,FBgn0038470,FBtr0339156,FBpp0308300
A0A0B4LIB3,CG18213-PD,FBgn0038470,FBtr0339157,FBpp0308301
Q9VEP3,CG4009-PB,FBgn0038469,FBtr0305130,FBpp0293660
Q9VEP3,CG4009-PC,FBgn0038469,FBtr0337062,FBpp0307991
Q9VEL5,CG31418-PA,FBgn0051418,FBtr0083432,FBpp0082873
Q9VEL4,CG31419-PB,FBgn0051419,FBtr0309516,FBpp0301286
Q9VEK8,sds22-PA,FBgn0028992,FBtr0083436,FBpp0082877
Q9VEK5,CG17283-PA,FBgn0038505,FBtr0083437,FBpp0082878
Q9VEK4,CG5860-PA,FBgn0038506,FBtr0083438,FBpp0082879
Q9VEK3,CG5863-PA,FBgn0038507,FBtr0083439,FBpp0082880
Q9VEK2,CG5866-PB,FBgn0038508,FBtr0303755,FBpp0292767
Q7KSF2,CG33333-PA,FBgn0053333,FBtr0083441,FBpp0082882
Q9VEJ9,cysu-PA,FBgn0038511,FBtr0083442,FBpp0082883
Q9VEJ7,CG14330-PA,FBgn0038512,FBtr0083443,FBpp0082884
Q07892,Eh-PA,FBgn0000564,FBtr0083444,FBpp0082885
Q07892,Eh-PB,FBgn0000564,FBtr0334930,FBpp0306950
A8JR34,CG14331-PC,FBgn0038510,FBtr0113244,FBpp0112156
Q9VEK1,CG14332-PA,FBgn0038509,FBtr0083446,FBpp0082887
Q9VEK6,Sur-8-PA,FBgn0038504,FBtr0083447,FBpp0082888
Q9VEK6,Sur-8-PB,FBgn0038504,FBtr0083448,FBpp0082889
A0A0B4KHA2,Sur-8-PE,FBgn0038504,FBtr0339531,FBpp0308614
Q9VEK6,Sur-8-PF,FBgn0038504,FBtr0339532,FBpp0308615
Q9VEL2,Brf-PA,FBgn0038499,FBtr0083452,FBpp0082893
Q9VEL2,Brf-PB,FBgn0038499,FBtr0302317,FBpp0291523
Q9BMG9,beat-IIa-PA,FBgn0038498,FBtr0083453,FBpp0082894
Q9BMG9,beat-IIa-PB,FBgn0038498,FBtr0339170,FBpp0308313
Q9VEJ3,P5cr-2-PA,FBgn0038516,FBtr0083454,FBpp0082895
Q8IN96,P5cr-2-PB,FBgn0038516,FBtr0083455,FBpp0082896
A0A0B4KGC5,P5cr-2-PC,FBgn0038516,FBtr0321264,FBpp0302816
A0A0B4KGC5,P5cr-2-PD,FBgn0038516,FBtr0321265,FBpp0302817
Q9VEJ1,SF1-PA,FBgn0025571,FBtr0083456,FBpp0082897
A0A0B4KG60,SF1-PB,FBgn0025571,FBtr0331706,FBpp0304095
A0A0B4KGU8,SF1-PC,FBgn0025571,FBtr0331707,FBpp0304096
Q9VEI6,Sgs5bis-PA,FBgn0038523,FBtr0083460,FBpp0082901
P07701,Sgs5-PA,FBgn0003375,FBtr0083461,FBpp0082902
Q9VEI3,sll-PA,FBgn0038524,FBtr0083462,FBpp0082903
Q9VEI3,sll-PB,FBgn0038524,FBtr0305308,FBpp0293851
Q9VEI2,CG14329-PA,FBgn0038525,FBtr0083463,FBpp0082904
Q9VEH9,CG14327-PA,FBgn0038526,FBtr0083465,FBpp0082906
Q9VEH9,CG14327-PB,FBgn0038526,FBtr0345206,FBpp0311401
Q9VEH7,CG14326-PA,FBgn0038528,FBtr0083467,FBpp0082907
Q9VEH5,AttD-PA,FBgn0038530,FBtr0083470,FBpp0082908
Q9VEH4,CG14325-PB,FBgn0038531,FBtr0289974,FBpp0288412
Q9VEH3,CG14322-PA,FBgn0038532,FBtr0083476,FBpp0082910
Q9VEH3,CG14322-PE,FBgn0038532,FBtr0344347,FBpp0310726
A0A0B4KHA8,CG14322-PB,FBgn0038532,FBtr0331346,FBpp0303764
A0A0B4KGC8,CG14322-PD,FBgn0038532,FBtr0331347,FBpp0303765
Q9VEH1,Mps1-PA,FBgn0000063,FBtr0083478,FBpp0082911
A0A0B4KG66,Mps1-PB,FBgn0000063,FBtr0331348,FBpp0303766
