UniprotKB,Gene,FBgn,FBtr,FBpp
Q8IRH5,CG2199-PB,FBgn0035213,FBtr0072721,FBpp0072605
M9PBH8,CG2199-PA,FBgn0035213,FBtr0072722,FBpp0072606
M9PBH8,CG2199-PC,FBgn0035213,FBtr0331865,FBpp0304249
Q8MSC8,CG2211-PA,FBgn0035211,FBtr0072723,FBpp0072607
Q8MSC8,CG2211-PB,FBgn0035211,FBtr0331866,FBpp0304250
Q9W0G6,msd5-PA,FBgn0035210,FBtr0072724,FBpp0072608
Q9W0H1,CG9184-PA,FBgn0035208,FBtr0072725,FBpp0072609
Q8IRH6,CG9184-PB,FBgn0035208,FBtr0072726,FBpp0072610
Q9W0H3,sturkopf-PB,FBgn0035206,FBtr0072727,FBpp0072611
Q9W0H3,sturkopf-PA,FBgn0035206,FBtr0072728,FBpp0072612
Q961B3,Nt5a-PA,FBgn0035204,FBtr0072729,FBpp0072613
X2JCB6,Nt5a-PC,FBgn0035204,FBtr0345006,FBpp0311257
Q961B3,Nt5a-PB,FBgn0035204,FBtr0331867,FBpp0304251
P40792,Rac1-PA,FBgn0010333,FBtr0072730,FBpp0072614
P40792,Rac1-PB,FBgn0010333,FBtr0331868,FBpp0304252
Q9W0I7,Psf1-PA,FBgn0035194,FBtr0072731,FBpp0072615
Q7KVC2,CG32318-PA,FBgn0052318,FBtr0072732,FBpp0088995
P46863,Klp61F-PA,FBgn0004378,FBtr0072733,FBpp0072616
Q9W0I9,CG9192-PA,FBgn0035193,FBtr0072734,FBpp0072617
Q9W0E1,pns-PB,FBgn0035229,FBtr0072736,FBpp0072619
Q8MQP7,pns-PC,FBgn0035229,FBtr0072737,FBpp0072620
Q9W0E1,pns-PA,FBgn0035229,FBtr0072735,FBpp0072618
Q7K4C7,Pcyt1-PA,FBgn0041342,FBtr0072738,FBpp0072621
Q7K4C7,Pcyt1-PD,FBgn0041342,FBtr0072739,FBpp0072622
Q7K4C7,Pcyt1-PB,FBgn0041342,FBtr0072740,FBpp0072623
Q7K4C7,Pcyt1-PC,FBgn0041342,FBtr0072741,FBpp0072624
Q7K4C7,Pcyt1-PE,FBgn0041342,FBtr0333396,FBpp0305588
Q7K4C7,Pcyt1-PF,FBgn0041342,FBtr0345365,FBpp0311519
Q9W0D9,Pcyt2-PA,FBgn0035231,FBtr0072742,FBpp0072625
Q9W0D7,Pex10-PA,FBgn0035233,FBtr0072743,FBpp0072626
Q9W0D7,Pex10-PB,FBgn0035233,FBtr0333397,FBpp0305589
Q8MSA5,CG12003-PA,FBgn0035234,FBtr0072744,FBpp0072627
Q960F6,CG12004-PA,FBgn0035236,FBtr0072745,FBpp0072628
Q960F6,CG12004-PB,FBgn0035236,FBtr0072746,FBpp0072629
A1A714,CG12004-PC,FBgn0035236,FBtr0113122,FBpp0112035
A1A714,CG12004-PD,FBgn0035236,FBtr0345367,FBpp0311521
Q9W0D3,CG13917-PA,FBgn0035237,FBtr0072747,FBpp0072630
Q9W0D3,CG13917-PB,FBgn0035237,FBtr0303993,FBpp0292962
Q9W0D3,CG13917-PC,FBgn0035237,FBtr0333359,FBpp0305551
Q9W0D3,CG13917-PD,FBgn0035237,FBtr0347066,FBpp0312460
Q9W0C5,ABCB7-PA,FBgn0035244,FBtr0072754,FBpp0072637
Q7KVB1,ABCB7-PB,FBgn0035244,FBtr0072755,FBpp0072638
Q7KVB0,CG33230-PA,FBgn0053230,FBtr0072757,FBpp0072640
Q24040,Bgb-PA,FBgn0013753,FBtr0072758,FBpp0072641
M9PGT9,Bgb-PB,FBgn0013753,FBtr0330180,FBpp0303213
Q9W0B7,CG13919-PA,FBgn0035248,FBtr0072759,FBpp0072642
Q24039,Bro-PA,FBgn0013755,FBtr0072760,FBpp0072643
Q8T0T9,CG13920-PA,FBgn0025712,FBtr0072761,FBpp0072644
Q8T0T9,CG13920-PC,FBgn0025712,FBtr0346593,FBpp0312183
Q9W0B2,CG7970-PA,FBgn0035252,FBtr0072762,FBpp0072645
Q9W0B2,CG7970-PB,FBgn0035252,FBtr0331460,FBpp0303877
A0A0S0WGR0,CG7970-PC,FBgn0035252,FBtr0346821,FBpp0312396
Q9W0A9,CG7974-PA,FBgn0035254,FBtr0072763,FBpp0072646
Q9W0A9,CG7974-PB,FBgn0035254,FBtr0333923,FBpp0306051
Q8SZ38,CG12011-PA,FBgn0035257,FBtr0072764,FBpp0072647
Q9W0A2,CG7991-PB,FBgn0035260,FBtr0303102,FBpp0292221
M9MRT3,CG7991-PC,FBgn0035260,FBtr0303103,FBpp0292222
Q9W098,CG12035-PA,FBgn0035263,FBtr0072766,FBpp0072649
Q9W095,Gk2-PC,FBgn0035266,FBtr0072767,FBpp0072650
Q9W095,Gk2-PE,FBgn0035266,FBtr0072768,FBpp0072651
Q9W095,Gk2-PD,FBgn0035266,FBtr0072769,FBpp0072652
Q9W095,Gk2-PB,FBgn0035266,FBtr0072770,FBpp0072653
Q9W095,Gk2-PA,FBgn0035266,FBtr0072771,FBpp0072654
Q9W095,Gk2-PF,FBgn0035266,FBtr0345817,FBpp0311803
Q7KVA8,CG13921-PB,FBgn0035267,FBtr0072773,FBpp0072656
M9PGV2,CG13921-PE,FBgn0035267,FBtr0310623,FBpp0302743
M9MRP1,CG13921-PC,FBgn0035267,FBtr0303104,FBpp0292223
Q9W093,CG13921-PD,FBgn0035267,FBtr0303105,FBpp0292224
M9PGV2,CG13921-PF,FBgn0035267,FBtr0334072,FBpp0306197
FBpp0423138,CG13921-PG,FBgn0035267,FBtr0474139,FBpp0423138
Q9W091,CG8001-PA,FBgn0035268,FBtr0072774,FBpp0072657
Q8SX92,CG8001-PB,FBgn0035268,FBtr0300292,FBpp0289520
Q9W091,CG8001-PC,FBgn0035268,FBtr0334073,FBpp0306198
Q8SX92,CG8001-PD,FBgn0035268,FBtr0334074,FBpp0306199
Q9W088,PolD2-PA,FBgn0027903,FBtr0072775,FBpp0072658
Q9W086,mRpL46-PA,FBgn0035272,FBtr0072776,FBpp0072659
Q24276,Cdc37-PA,FBgn0011573,FBtr0072777,FBpp0072660
Q9W083,CG12020-PA,FBgn0035273,FBtr0072778,FBpp0072661
Q9NB04,Patj-PC,FBgn0067864,FBtr0072779,FBpp0072662
Q9NB04,Patj-PA,FBgn0067864,FBtr0301625,FBpp0290839
Q9NB04,Patj-PB,FBgn0067864,FBtr0072781,FBpp0072664
Q9W080,GV1-PA,FBgn0027790,FBtr0072784,FBpp0072667
Q8SXW3,GV1-PB,FBgn0027790,FBtr0072785,FBpp0072668
Q9W078,Cpr62Bb-PA,FBgn0035280,FBtr0072786,FBpp0072669
Q9W078,Cpr62Bb-PB,FBgn0035280,FBtr0299562,FBpp0288837
Q9W078,Cpr62Bb-PC,FBgn0035280,FBtr0332875,FBpp0305097
Q9W079,Cpr62Ba-PB,FBgn0035279,FBtr0299560,FBpp0288835
Q9W079,Cpr62Ba-PC,FBgn0035279,FBtr0299561,FBpp0288836
O96067,JTBR-PA,FBgn0025820,FBtr0072788,FBpp0072671
O96067,JTBR-PB,FBgn0025820,FBtr0332876,FBpp0305098
O96067,JTBR-PC,FBgn0025820,FBtr0332877,FBpp0305099
Q8T626,dlt-PA,FBgn0024510,FBtr0072790,FBpp0072673
Q9W087,CG2021-PA,FBgn0035271,FBtr0072791,FBpp0072674
Q9W089,CG13933-PA,FBgn0035270,FBtr0072792,FBpp0072675
M9PDX4,CG13933-PB,FBgn0035270,FBtr0332881,FBpp0305103
Q7KVA7,Dhc62B-PC,FBgn0013811,FBtr0303106,FBpp0292225
Q9W092,Cht2-PA,FBgn0022702,FBtr0072795,FBpp0072677
Q9W092,Cht2-PC,FBgn0022702,FBtr0334075,FBpp0306200
Q9W092,Cht2-PB,FBgn0022702,FBtr0305966,FBpp0297108
Q9W096,PIG-Wb-PA,FBgn0035265,FBtr0072796,FBpp0072678
Q9W096,PIG-Wb-PB,FBgn0035265,FBtr0334076,FBpp0306201
Q9W097,Oseg4-PA,FBgn0035264,FBtr0072797,FBpp0072679
Q9W097,Oseg4-PB,FBgn0035264,FBtr0334077,FBpp0306202
Q9W0A0,drpr-PB,FBgn0027594,FBtr0072799,FBpp0072681
Q9W0A1,drpr-PA,FBgn0027594,FBtr0072798,FBpp0072680
M9NEX8,drpr-PC,FBgn0027594,FBtr0309845,FBpp0301579
M9PDW5,drpr-PD,FBgn0027594,FBtr0334078,FBpp0306203
M9PGU6,drpr-PE,FBgn0027594,FBtr0334079,FBpp0306204
M9PBI3,drpr-PF,FBgn0027594,FBtr0334080,FBpp0306205
Q9W099,CG18171-PA,FBgn0035262,FBtr0072800,FBpp0072682
Q9W0A6,CG13930-PA,FBgn0035256,FBtr0072803,FBpp0072685
Q9W0A7,RabX5-PB,FBgn0035255,FBtr0301528,FBpp0290743
Q9W0A8,RpL23A-PA,FBgn0026372,FBtr0072805,FBpp0072687
Q9W0A8,RpL23A-PB,FBgn0026372,FBtr0474640,FBpp0423205
Q9W0B3,Vta1-PA,FBgn0035251,FBtr0072809,FBpp0072691
Q9W0B6,CG17249-PA,FBgn0035249,FBtr0072810,FBpp0072692
Q9W0B8,alphaCOP-PB,FBgn0025725,FBtr0072811,FBpp0072693
Q9W0B8,alphaCOP-PA,FBgn0025725,FBtr0072812,FBpp0072694
F2FB75,Mettl2-PA,FBgn0035247,FBtr0072813,FBpp0072695
Q86BS6,Mettl2-PB,FBgn0035247,FBtr0072814,FBpp0072696
Q9W0C2,nSyb-PE,FBgn0013342,FBtr0072819,FBpp0089251
Q9W0C1,nSyb-PA,FBgn0013342,FBtr0072815,FBpp0072697
Q9W0C1,nSyb-PF,FBgn0013342,FBtr0300893,FBpp0290115
Q9W0C2,nSyb-PG,FBgn0013342,FBtr0300894,FBpp0290116
Q86BQ0,nSyb-PH,FBgn0013342,FBtr0302310,FBpp0291516
Q86BQ0,nSyb-PI,FBgn0013342,FBtr0306578,FBpp0297533
M9PE71,nSyb-PJ,FBgn0013342,FBtr0331461,FBpp0303878
M9PDW0,nSyb-PK,FBgn0013342,FBtr0331462,FBpp0303879
Q9W0C4,GC-PA,FBgn0035245,FBtr0072821,FBpp0072701
Q9W0C4,GC-PB,FBgn0035245,FBtr0302024,FBpp0291234
Q9W0C3,CG13928-PA,FBgn0035246,FBtr0072822,FBpp0072702
Q9W0C7,CG13926-PA,FBgn0035243,FBtr0072823,FBpp0072703
Q9W0C9,CG12105-PA,FBgn0035241,FBtr0072824,FBpp0072704
M9PDN3,CG12105-PB,FBgn0035241,FBtr0331463,FBpp0303880
Q9W0D2,CG12104-PA,FBgn0035238,FBtr0072825,FBpp0072705
X2JG46,CG12104-PC,FBgn0035238,FBtr0344803,FBpp0311128
Q9W0D2,CG12104-PB,FBgn0035238,FBtr0333360,FBpp0305552
Q9W0D6,CG7879-PA,FBgn0035235,FBtr0072826,FBpp0072706
Q9W0D6,CG7879-PB,FBgn0035235,FBtr0072827,FBpp0072707
Q9W0D8,CG12099-PB,FBgn0035232,FBtr0072828,FBpp0072708
Q9W0D8,CG12099-PA,FBgn0035232,FBtr0072829,FBpp0072709
Q86BQ2,CG32313-PA,FBgn0052313,FBtr0072830,FBpp0072710
M9PBI0,CG32313-PB,FBgn0052313,FBtr0333398,FBpp0305590
M9PDN0,CG32313-PC,FBgn0052313,FBtr0333399,FBpp0305591
Q9W0E2,CG12091-PA,FBgn0035228,FBtr0072831,FBpp0072711
Q9W0E2,CG12091-PB,FBgn0035228,FBtr0333400,FBpp0305592
Q8SZU6,CG12024-PA,FBgn0035283,FBtr0072832,FBpp0072712
Q8IRG7,CG12024-PB,FBgn0035283,FBtr0072833,FBpp0072713
M9MRY7,CG12024-PC,FBgn0035283,FBtr0303152,FBpp0292251
Q9W073,CG12025-PA,FBgn0035285,FBtr0072834,FBpp0072714
Q9W073,CG12025-PB,FBgn0035285,FBtr0332668,FBpp0304914
Q9W073,CG12025-PC,FBgn0035285,FBtr0345381,FBpp0311531
Q9W072,CG13924-PB,FBgn0035286,FBtr0300120,FBpp0289397
M9MRP4,CG13924-PC,FBgn0035286,FBtr0303153,FBpp0292252
Q9W062,Mfap1-PA,FBgn0035294,FBtr0072841,FBpp0072720
Q9I7U5,Cnb-PA,FBgn0035295,FBtr0072842,FBpp0072721
Q9I7U5,Cnb-PB,FBgn0035295,FBtr0333430,FBpp0305621
Q8IRG3,SCOT-PB,FBgn0035298,FBtr0072843,FBpp0072722
Q9W058,SCOT-PA,FBgn0035298,FBtr0072844,FBpp0072723
M9PGX7,SCOT-PC,FBgn0035298,FBtr0333431,FBpp0305622
Q9W056,CG1139-PA,FBgn0035300,FBtr0072845,FBpp0072724
Q9W057,CG11815-PA,FBgn0035299,FBtr0072852,FBpp0072731
Q9Y107,CG1927-PA,FBgn0027547,FBtr0072853,FBpp0072732
M9PBI8,CG1927-PB,FBgn0027547,FBtr0333433,FBpp0305624
Q95RC8,mu2-PA,FBgn0002872,FBtr0072856,FBpp0072735
Q9W061,mu2-PB,FBgn0002872,FBtr0072857,FBpp0072736
A2VEF9,mu2-PC,FBgn0002872,FBtr0301465,FBpp0290680
Q961Q9,CG5687-PA,FBgn0035293,FBtr0072858,FBpp0072737
Q961Q9,CG5687-PB,FBgn0035293,FBtr0346543,FBpp0312161
A8JNI3,dsb-PD,FBgn0035290,FBtr0273261,FBpp0271769
R9PY22,dsb-PF,FBgn0035290,FBtr0310544,FBpp0302681
F0JAR1,dsb-PG,FBgn0035290,FBtr0310545,FBpp0302682
Q9W070,CG13937-PD,FBgn0035287,FBtr0300714,FBpp0289938
Q9W070,CG13937-PE,FBgn0035287,FBtr0300715,FBpp0289939
Q8IRG5,CG13937-PF,FBgn0035287,FBtr0300716,FBpp0289940
Q8IRG5,CG13937-PG,FBgn0035287,FBtr0300717,FBpp0289941
M9PBI7,CG13937-PH,FBgn0035287,FBtr0332669,FBpp0304915
Q9W070,CG13937-PI,FBgn0035287,FBtr0332670,FBpp0304916
Q9W074,HBS1-PA,FBgn0042712,FBtr0072866,FBpp0072745
Q9W074,HBS1-PB,FBgn0042712,FBtr0345807,FBpp0311793
P08645,Rap1-PA,FBgn0004636,FBtr0072867,FBpp0072746
P08645,Rap1-PB,FBgn0004636,FBtr0303154,FBpp0292253
P08645,Rap1-PC,FBgn0004636,FBtr0332671,FBpp0304917
Q9W076,CNMa-PC,FBgn0035282,FBtr0303155,FBpp0292254
Q9W076,CNMa-PB,FBgn0035282,FBtr0300713,FBpp0289937
