	uniprot	flybase
394	Q9W526	FBgn0040394
395	A0A0B4K6C3	FBgn0040529
396	Q9VHS2	FBgn0040529
397	D1Z3A1	FBgn0035422
398	Q9VFS1	FBgn0038172
399	M9PDX6	FBgn0026189
400	M9PH44	FBgn0026189
401	Q9VFS6	FBgn0038168
402	A0A0B4K686	FBgn0261262
403	A0A0B4K760	FBgn0261262
404	Q9VE20	FBgn0261262
405	Q9VNB9	FBgn0037328
406	P41042	FBgn0011284
407	Q9W0S7	FBgn0035121
408	Q94522	FBgn0004888
409	Q0KIE7	FBgn0011747
410	Q9VQM2	FBgn0031505
411	Q9W0A8	FBgn0026372
412	A1Z843	FBgn0033482
413	Q9VZL8	FBgn0026592
414	P48375	FBgn0013954
415	Q24253	FBgn0010380
416	Q7YZA2	FBgn0030091
417	Q9VNH7	FBgn0027608
418	Q9VBX4	FBgn0051510
419	Q9VRL0	FBgn0035600
420	M9ND93	FBgn0086690
421	M9NFV3	FBgn0086690
422	M9PCJ5	FBgn0086690
423	M9PCK2	FBgn0086690
424	M9PFA8	FBgn0086690
425	M9PFJ2	FBgn0086690
426	M9PFP0	FBgn0086690
427	M9PI63	FBgn0086690
428	Q400N2	FBgn0086690
429	M9PDT6	FBgn0029761
430	M9PGG9	FBgn0029761
431	M9PH41	FBgn0029761
432	Q7KVW5	FBgn0029761
433	Q7KVW5	FBgn0029761
434	X2JAI8	FBgn0029761
435	X2JDR8	FBgn0029761
436	Q9NHE5	FBgn0053653
437	A1Z9U2	FBgn0033958
438	Q9VF33	FBgn0026616
439	Q9V9T5	FBgn0039877
440	P29613	FBgn0086355
441	P29613	FBgn0086355
442	Q9VXV6	FBgn0040285
443	Q0KHZ6	FBgn0039697
444	Q7K5K3	FBgn0039635
445	Q7K5K3	FBgn0039635
446	Q9W229	FBgn0261596
447	Q9VGQ1	FBgn0037891
448	M9PDI9	FBgn0032901
449	M9PDV9	FBgn0032901
450	Q9VIH7	FBgn0032901
451	M9MRC9	FBgn0285948
452	Q9VYK6	FBgn0030412
453	Q9VCA0	FBgn0039178
454	P46415	FBgn0011768
455	A0A0B4KFE4	FBgn0263120
456	A1Z7H2	FBgn0263120
457	A1Z7H3	FBgn0263120
458	Q8T3L1	FBgn0263120
459	Q9VIQ8	FBgn0032833
460	Q0E9K2	FBgn0033159
461	Q9VVY7	FBgn0052206
462	R9PY60	FBgn0052206
463	D3DMM4	FBgn0260745
464	Q86B94	FBgn0260745
465	Q86B95	FBgn0260745
466	Q86B96	FBgn0260745
467	Q86B97	FBgn0260745
468	Q9VGE9	FBgn0260745
469	Q9VGF0	FBgn0260745
470	Q9VRP2	FBgn0035630
471	X2JBI1	FBgn0265597
472	X2JDH0	FBgn0265597
473	X2JEQ0	FBgn0265597
474	X2JF15	FBgn0265597
475	X2JJU0	FBgn0265597
476	A0A0B4KGY6	FBgn0261552
477	Q9VF17	FBgn0051183
478	Q24372	FBgn0010238
479	Q9VVH5	FBgn0036728
480	A0A0B4KI10	FBgn0028692
481	Q9V3P6	FBgn0028692
482	Q9VAK5	FBgn0039669
483	Q9VW54	FBgn0028695
484	Q9W2G9	FBgn0034628
485	P22700	FBgn0263006
486	P22700	FBgn0263006
487	Q9V3J4	FBgn0024509
488	M9ND95	FBgn0264695
489	P05661	FBgn0264695
490	P05661	FBgn0264695
491	P05661	FBgn0264695
492	P05661	FBgn0264695
493	P05661	FBgn0264695
494	P05661	FBgn0264695
495	P05661	FBgn0264695
496	Q9VXX8	FBgn0030616
497	P55830	FBgn0017545
498	Q8IQV4	FBgn0052225
499	E1JHE4	FBgn0267828
500	Q9VZE9	FBgn0035521
501	A0A0B4K6W5	FBgn0039883
502	A0A0B4K7G3	FBgn0039883
503	A0A0B4LJ24	FBgn0039883
504	Q9V9S7	FBgn0039883
505	Q9V9S7	FBgn0039883
506	Q9VB69	FBgn0029155
507	Q9VZ39	FBgn0030259
508	A8DZ18	FBgn0000464
509	M9NCY3	FBgn0000464
510	M9PD76	FBgn0000464
511	M9PDF7	FBgn0000464
512	M9PDR3	FBgn0000464
513	M9PG93	FBgn0000464
514	P16621	FBgn0000464
515	Q9VU13	FBgn0261674
516	X2JCD3	FBgn0261674
517	Q8MKK1	FBgn0050185
518	P92177	FBgn0020238
519	P92177	FBgn0020238
520	Q0KHN6	FBgn0259677
521	Q8IRH0	FBgn0261243
522	Q8IRH1	FBgn0261243
523	Q9W0E4	FBgn0261243
524	Q9W425	FBgn0023458
525	A8JRB8	FBgn0039358
526	A8JRC1	FBgn0039358
527	Q8MT18	FBgn0039358
528	A0A0B4KHG5	FBgn0267435
529	A0A0B4KHK5	FBgn0267435
530	A0A0B4KHX5	FBgn0267435
531	A0A0B4KI35	FBgn0267435
532	P12024	FBgn0267435
533	Q7KVX1	FBgn0028325
534	Q9W4H6	FBgn0028325
535	Q9VVU2	FBgn0036825
536	P41093	FBgn0010409
537	O18373	FBgn0261270
538	Q8SY19	FBgn0025814
539	Q7KRW4	FBgn0039640
540	Q9VAP0	FBgn0039640
541	P26308	FBgn0001105
542	P20477	FBgn0001142
543	Q7KJ73	FBgn0029506
544	M9PE30	FBgn0035499
545	Q9VZI1	FBgn0035499
546	Q9VZM5	FBgn0035464
547	M9PHM6	FBgn0035753
548	H5V8B8	FBgn0260439
549	M9NDI6	FBgn0260439
550	P36179	FBgn0260439
551	M9ND25	FBgn0051660
552	M9NDF0	FBgn0051660
553	Q59E18	FBgn0051660
554	Q9NJH0	FBgn0029176
555	M9NDX3	FBgn0004924
556	P30189	FBgn0004924
557	Q494M1	FBgn0004924
558	Q8IRG6	FBgn0002183
559	Q9VKA4	FBgn0051760
560	Q9VKA4	FBgn0051760
561	A8JNI2	FBgn0035253
562	Q9VQK5	FBgn0031492
563	A0A0B4LGQ1	FBgn0010213
564	Q00637	FBgn0010213
565	Q9Y112	FBgn0027552
566	Q8IMJ0	FBgn0051030
567	Q7KVL7	FBgn0034708
568	Q9W277	FBgn0034708
569	Q7KJ08	FBgn0040505
570	Q24319	FBgn0014868
571	Q9VAN7	FBgn0014869
572	A0A0B4KFT3	FBgn0003091
573	B7Z0W9	FBgn0259150
574	B7Z0W9	FBgn0259150
575	P91929	FBgn0019957
576	A4UZR3	FBgn0003748
577	Q9W2M2	FBgn0003748
578	Q9W2M2	FBgn0003748
579	Q7KSA4	FBgn0038803
580	Q9I7I6	FBgn0038803
581	Q9VDL3	FBgn0038803
582	A0A0B7P9G0	FBgn0262124
583	A1Z8K9	FBgn0033631
584	Q7JR71	FBgn0033631
585	Q7JR71	FBgn0033631
586	Q9TVP3	FBgn0027654
587	Q9TVP3	FBgn0027654
588	Q9W543	FBgn0023510
589	P55841	FBgn0017579
590	P48148	FBgn0014020
591	Q9VN13	FBgn0037239
592	Q7KNS3	FBgn0015754
593	P32100	FBgn0005593
594	Q9VGM2	FBgn0037913
595	Q9VVH3	FBgn0036726
596	M9NF32	FBgn0028507
597	Q9V3K7	FBgn0028507
598	Q9VTR3	FBgn0036228
599	Q9VJ11	FBgn0032746
600	M9NDH5	FBgn0000108
601	M9NE22	FBgn0000108
602	M9NEM2	FBgn0000108
603	M9NFQ0	FBgn0000108
604	M9NGF6	FBgn0000108
605	P14599	FBgn0000108
606	Q9VH26	FBgn0037788
607	M9NG39	FBgn0004401
608	P41073	FBgn0004401
609	P25162	FBgn0004118
610	A0A0B4K6A2	FBgn0262869
611	A0A0B4K785	FBgn0262869
612	A0A0B4K7J4	FBgn0262869
613	A0A0B4KH06	FBgn0262869
614	Q59DV8	FBgn0262869
615	A0A0B4K6V0	FBgn0259246
616	O15971	FBgn0015789
617	E1JHJ4	FBgn0264695
618	Q9VML2	FBgn0043362
619	A0A0B4KF92	FBgn0037332
620	Q9VNC3	FBgn0037332
621	Q7K1M4	FBgn0033434
622	Q9W0M7	FBgn0035162
623	M9PGF7	FBgn0004449
624	O61307	FBgn0004449
625	O61307	FBgn0004449
626	Q9W246	FBgn0034734
627	P61851	FBgn0003462
628	A1Z9E3	FBgn0024556
629	A8DZ14	FBgn0000636
630	P15278	FBgn0000636
631	Q8INX7	FBgn0000636
632	X2J6N7	FBgn0000636
633	X2JAT7	FBgn0000636
634	A0A0B4KH34	FBgn0000083
635	A0A6H2EEN9	FBgn0029768
636	P40797	FBgn0013726
637	Q9VQ29	FBgn0021906
638	Q9VJ28	FBgn0032729
639	Q9V3U6	FBgn0250848
640	Q8IQD3	FBgn0044328
641	Q9V3W2	FBgn0001989
642	Q5U0V7	FBgn0034691
643	E1JHR5	FBgn0000579
644	P15007	FBgn0000579
645	P31009	FBgn0004867
646	A0A0B4LHR4	FBgn0027575
647	Q8IN24	FBgn0027575
648	Q9Y133	FBgn0027575
649	Q9VFF0	FBgn0038271
650	Q7K485	FBgn0029093
651	Q9VWH4	FBgn0027291
652	Q9VWH4	FBgn0027291
653	A0A0B4LI09	FBgn0085382
