FBgn0261261	plx	Gene Expression
FBgn0037365	CG2104	Gene Expression
FBgn0004878	cas	Gene Expression
FBgn0266229	CR44924	Gene Expression
FBgn0037368	CG1239	Gene Expression
FBgn0037369	CG2100	Gene Expression
FBgn0037370	CG1236	Gene Expression
FBgn0037371	Sym	Gene Expression
FBgn0027497	Madm	Gene Expression
FBgn0037372	CG2091	Gene Expression
FBgn0266672	Sec8	Gene Expression
FBgn0027608	CG2082	Gene Expression
FBgn0037374	jagn	Gene Expression
FBgn0037375	kat-60L1	Gene Expression
FBgn0037376	Hat1	Gene Expression
FBgn0028690	Rpn5	Gene Expression
FBgn0037377	CG1218	Gene Expression
FBgn0037378	CG2046	Gene Expression
FBgn0037379	CG10979	Gene Expression
FBgn0263353	CG11000	Gene Expression
FBgn0261561	CG42675	Gene Expression
FBgn0037382	Hpr1	Gene Expression
FBgn0284081	CG46303	Gene Expression
FBgn0037383	CG2023	Gene Expression
FBgn0037384	dgrn	Gene Expression
FBgn0037385	glob3	Gene Expression
FBgn0037386	CG1208	Gene Expression
FBgn0266702	CR45192	Gene Expression
FBgn0037387	CG1213	Gene Expression
FBgn0037388	CG14676	Gene Expression
FBgn0037389	CR10991	Gene Expression
FBgn0029088	disp	Gene Expression
FBgn0085316	CG34287	Gene Expression
FBgn0028436	ECSIT	Gene Expression
FBgn0037391	CG2017	Gene Expression
FBgn0267808	CR46133	Gene Expression
FBgn0083949	CG34113	Gene Expression
FBgn0267399	CR45761	Gene Expression
FBgn0267400	CR45762	Gene Expression
FBgn0040679	CG11373	Gene Expression
FBgn0266230	CR44925	Gene Expression
FBgn0266231	CR44926	Gene Expression
FBgn0284417	lncRNA:TS20	Gene Expression
FBgn0011281	Obp83a	Gene Expression
FBgn0010403	Obp83b	Gene Expression
FBgn0266232	CR44927	Gene Expression
FBgn0266233	CR44928	Gene Expression
FBgn0003261	Rm62	Gene Expression
FBgn0037395	CG10280	Gene Expression
FBgn0037396	CG11459	Gene Expression
FBgn0037397	CR1075	Gene Expression
FBgn0267941	CR46221	Gene Expression
FBgn0266226	CR44921	Gene Expression
FBgn0037398	CG15580	Gene Expression
FBgn0037399	Or83c	Gene Expression
FBgn0026077	Gasp	Gene Expression
FBgn0266234	CR44929	Gene Expression
FBgn0046878	Obp83cd	Gene Expression
FBgn0046876	Obp83ef	Gene Expression
FBgn0046875	Obp83g	Gene Expression
FBgn0037402	Vha14-2	Gene Expression
FBgn0263497	CR43486	Gene Expression
FBgn0263498	CR43487	Gene Expression
FBgn0051559	CG31559	Gene Expression
FBgn0037405	CG1077	Gene Expression
FBgn0037406	Osi1	Gene Expression
FBgn0051562	CR31562	Gene Expression
FBgn0037408	NPFR	Gene Expression
FBgn0037409	Osi24	Gene Expression
FBgn0037410	Osi2	Gene Expression
FBgn0037411	Osi3	Gene Expression
FBgn0037412	Osi4	Gene Expression
FBgn0037413	Osi5	Gene Expression
FBgn0027527	Osi6	Gene Expression
FBgn0037414	Osi7	Gene Expression
FBgn0037415	Osi8	Gene Expression
FBgn0037416	Osi9	Gene Expression
FBgn0037417	Osi10	Gene Expression
FBgn0037418	Osi11	Gene Expression
FBgn0037419	Osi12	Gene Expression
FBgn0037420	CG15597	Gene Expression
